Length (s),Noise ratio,Score,Confidence (score in overall result percentage),Runtime (s),Note,
1,0,0,0,0.04,No match,
2,0,78,25,0.07,,
3,0,201,16.61,0.07,,
4,0,1419,22.16,0.07,,
5,0,3659,22.47,0.09,,
6,0,6084,22.52,0.13,,
7,0,6016,19.20,0.14,,
8,0,6033,18.74,0.22,,
9,0,6973,18.94,0.21,,
10,0,8453,20.07,0.22,,
,,,,,,
10,0,8453,20.07,0.22,,
10,0.1,8788,20.20,0.26,,
10,0.2,9060,20.88,0.3,,
10,0.3,8644,19.90,0.23,,
10,0.4,8251,19.91,0.23,,
10,0.5,8248,20.40,0.34,,
10,0.6,7248,19.03,0.21,,
10,0.7,8431,23.1,0.18,,
10,0.8,7091,19.30,0.18,,
10,0.9,8062,21.89,0.19,,
